The Gospel According to Saint Matthew	said unto,55;unto them,54;say unto,41;saith unto,20;jesus said,13;chief priests,11;woe unto,11;went out,10;come into,9;these things,9	i say unto,32;say unto you,32;said unto him,26;and said unto,25;answered and said,24;said unto them,21;the chief priests,11;jesus said unto,10;kingdom of heaven,10;saith unto them,10	answered and said unto,13;and said unto them,9;scribes and pharisees hypocrites,7;woe unto you scribes,7;he said unto them,6;he saith unto them,6;jesus answered and said,6;jesus said unto them,5;came and said unto,4;chief priests and elders,
The Gospel According to Saint Mark	unto them,55;said unto,52;saith unto,21;say unto,19;went out,11;jesus said,9;they had,9;they went,9;they said,7;charged them,6	said unto them,30;he said unto,20;saith unto them,15;and said unto,14;i say unto,14;said unto him,13;say unto you,13;answered and said,12;he saith unto,10;when they had,8	he said unto them,16;he saith unto them,9;answered and said unto,8;and said unto them,7;jesus answered and said,6;and saith unto them,4;and jesus answering said,3;but jesus said unto,3;charged them that they,3;ears to hear let,
The Gospel According to Saint Luke	said unto,93;unto them,52;say unto,25;these things,19;then said,16;answering said,13;woe unto,13;jesus said,11;they said,10;chief priests,9	he said unto,42;came to pass,38;said unto him,38;said unto them,35;i say unto,22;say unto you,20;and said unto,13;jesus said unto,10;son of man,10;the chief priests,9	he said unto them,24;jesus said unto him,8;and jesus said unto,7;and jesus answering said,6;then said he unto,6;answered and said unto,5;jesus answering said unto,5;a parable unto them,4;and they said unto,4;answering said unto him,
The Gospel According to Saint John	saith unto,50;said unto,46;unto them,40;then said,33;these things,23;jesus saith,22;jesus answered,19;say unto,19;said jesus,13;simon peter,13	said unto him,25;saith unto him,25;and said unto,19;jesus saith unto,19;answered and said,14;i say unto,14;say unto you,13;saith unto them,12;then said jesus,12;said unto them,11	answered and said unto,10;jesus saith unto her,9;said they unto him,7;then said jesus unto,7;jesus answered and said,6;then said the jews,6;then said they unto,6;jesus saith unto him,5;jesus saith unto them,5;saith unto him lord,
The Acts of the Apostles	they had,28;said unto,26;unto them,14;holy ghost,12;these things,12;they heard,11;they went,10;chief captain,8;rose up,8;they came,8	when they had,23;came to pass,12;the holy ghost,12;when they heard,10;said unto him,8;the chief captain,8;a certain man,7;the high priest,7;when we had,7;came t and,6	a certain man named,3;and after they had,3;he said unto them,3;the lord said unto,3;then agrippa said unto,3;then the chief captain,3;they heard that they,3;a voice saying unto,2;agrippa said unto paul,2;and after certain days,
The Epistle of Paul the Apostle to the Romans	say then,9;jesus christ,7;god hath,5;lord jesus,5;so then,5;we know,5;we say,5;god forbid,4;one another,4;am persuaded,3	shall we say,5;we say then,5;we know that,4;for we know,3;lord jesus christ,3;now the god,3;righteousness of god,3;the lord jesus,3;after the flesh,2;away his people,2	shall we say then,5;bu for we know,2;cast away his people,2;it hath pleased them,2;made free from sin,2;only so but we,2;our lord jesus christ,2;sin taking occasion by,2;we say then is,2;we say then that,
The First Epistle of Paul the Apostle to the Corinthians	come together,5;god hath,5;these things,5;unknown tongue,5;now concerning,4;come unto,3;even so,3;if they,3;if we,3;into one,3	if any man,12;an unknown tongue,5;let no man,4;ye come together,4;come unto you,3;grace of god,3;let every man,3;preach the gospel,3;and god hath,2;and if they,2	if any man love,2;if any man think,2;if any man’s work,2;12 20 bu and,1;14 19 ye brethren,1;15 17 an then,1;17 an then they,1;9 4 have we,1;a figure transferred t,1;a man examine himself,
The Second Epistle of Paul the Apostle to the Corinthians	jesus christ,6;lord jesus,4;unto god,3;desired titus,2;fear lest,2;other churches,2;ow now,2;proof o,2;selfsame thing,2;so am,2	lord jesus christ,4;after the flesh,3;our lord jesus,3;b for we,2;be unto god,2;i fear lest,2;i wrote unto,2;if a man,2;so am i,2;thanks be unto,2	our lord jesus christ,3;thanks be unto god,2;third time i am,2;14 bu but thanks,1;8 14 bu but,1;a brother did titus,1;a fool if otherwise,1;a moment worketh fo,1;a new creature ol,1;above fourteen years ago,
The Epistle of Paul the Apostle to the Galatians	went up,3;born after,2;brethren if,2;christ hath,2;christ jesus,2;circumcision availeth,2;god forbid,2;jesus christ,2;neither circumcision,2;one another,2	i went up,3;under the law,3;after the flesh,2;availeth any thing,2;born after the,2;circumcision availeth any,2;if a man,2;in christ jesus,2;neither circumcision availeth,2;spirit let us,2	born after the flesh,2;circumcision availeth any thing,2;neither circumcision availeth any,2;a child differet even,1;a little leaven leaveneth,1;a man think himself,1;abraham’s seed and heir,1;added because o now,1;after i went up,1;after the flesh persecuted,
The Epistle of Paul the Apostle to the Ephesians	jesus christ,4;lord jesus,3;one spirit,2;th grace,2;things unto,2;time past,2;unto th,2;whole armour,2;21 if,1;4 21,1	armour of god,2;even as christ,2;father and mother,2;in time past,2;lord jesus christ,2;of jesus christ,2;our lord jesus,2;th grace be,2;the whole armour,2;whole armour of,2	our lord jesus christ,2;whole armour of god,2;21 if so be,1;4 21 if so,1;5 2 and wal,1;able to do exceeding,1;abundantly above al i,1;access by one spirit,1;agains wherefore take unto,1;against flesh and blood,
The Epistle of Paul the Apostle to the Philippians	already attained,2;christ jesus,2;jesus christ,2;lord jesus,2;1 4,1;2 15,1;2 6,1;4 always,1;abound ever,1;abound yet,1	do all things,2;in christ jesus,2;1 4 always,1;2 15 that,1;2 6 who,1;4 always in,1;a strait betwixt,1;abide an only,1;abound ever i,1;abound i am,1	1 4 always in,1;4 always in ever,1;a strait betwixt two,1;abide an only let,1;abound ever i can,1;abound i am full,1;again i say rejoice,1;again unto m not,1;all things through christ,1;all things without murmurings,
The Epistle of Paul the Apostle to the Colossians	christ jesus,2;god would,2;jesus christ,2;one another,2;put off,2;we heard,2;whom we,2;above set,1;after th,1;against them,1	lest any man,2;let no man,2;whatsoever ye do,2;a belove whom,1;a door o,1;a great zeal,1;a minister according,1;a voluntary humility,1;above all these,1;above set your,1	above all these things,1;above set your affection,1;affection on things above,1;after th where there,1;against them children obey,1;al whereunto i also,1;all pleasing bein strengthened,1;all these anger wrath,1;all these things put,1;also appea mortify therefore,
The First Epistle of Paul the Apostle to the Thessalonians	became followers,2;give thanks,2;god hath,2;longer forbear,2;lord jesus,2;one another,2;we beseech,2;without ceasing,2;again even,1;also thank,1	became followers of,2;beseech you brethren,2;could no longer,2;for god hath,2;god hath not,2;no longer forbear,2;we beseech you,2;a nurse cherisheth,1;a short time,1;a shout wit,1	could no longer forbear,2;we beseech you brethren,2;abound in love one,1;again even so the,1;all things hold fast,1;also thank we god,1;amon now we exhort,1;and edify one another,1;and rose again even,1;and safety then sudden,
The Second Epistle of Paul the Apostle to the Thessalonians	lord jesu,3;jesus christ,2;lord jesus,2;now we,2;we command,2;already work,1;also we,1;brethren pray,1;brethren stand,1;brother now,1	our lord jesu,3;lord jesus christ,2;our lord jesus,2;we are bound,2;a brother now,1;already work only,1;also we pray,1;alway to god,1;among you disorderly,1;and god even,1	our lord jesus christ,2;already work only he,1;also we pray always,1;among you disorderly now,1;and into th now,1;bound to give thanks,1;bound to thank god,1;brethre therefore brethren stand,1;brethren stand fast and,1;brother now the lord,
The First Epistle of Paul the Apostle to Timothy	these things,6;let them,4;come unto,2;faithful saying,2;good works,2;jesus christ,2;one wife,2;things give,2;abide still,1;acceptation tha,1	a faithful saying,2;faithful saying and,2;if a man,2;if any man,2;of one wife,2;saying and worthy,2;sight of god,2;these things give,2;to come unto,2;a bishop h,1	faithful saying and worthy,2;a bishop then must,1;a deacon well purchase,1;a true saying if,1;abide still at ephesus,1;about from house t,1;accusation but before two,1;adam was first formed,1;adorn themselves in modes,1;afte fight the good,
The Second Epistle of Paul the Apostle to Timothy	jesus christ,5;lord give,2;lord jesus,2;these things,2;4 10,1;according t,1;afflictions do,1;al remember,1;also resis,1;also strive,1	diligence to come,2;do thy diligence,2;if a man,2;lord jesus christ,2;of jesus christ,2;the lord give,2;the lord jesus,2;10 for demas,1;4 10 for,1;a faithful saying,1	the lord jesus christ,2;10 for demas hat,1;4 10 for demas,1;a great house there,1;a man also strive,1;a vesse flee also,1;according t i thank,1;afflictions do the work,1;al remember that jesus,1;alexander the coppersmith did,
The Epistle of Paul the Apostle to Titus	good works,2;these things,2;2 2,1;2 tha,1;aged women,1;al looking,1;also learn,1;artemas unto,1;authority put,1;avoid foolish,1	2 2 tha,1;2 tha the,1;a bishop must,1;a faithful saying,1;after the first,1;aged women likewise,1;al looking for,1;all authority put,1;all things shewing,1;also learn to,1	2 2 tha the,1;2 tha the aged,1;aged women likewise that,1;all authority put them,1;all things shewing thyself,1;also learn to maintain,1;also were sometimes foolish,1;apostle of jesus christ,1;appeared to al looking,1;appearing of th these,
The Epistle of Paul the Apostle to Philemon	jesus christ,2;aristarchus demas,1;brother let,1;brother unt,1;christ jesus,1;demas lucas,1;god making,1;great joy,1;hath wronged,1;having confidence,1	1 for we,1;also a lodging,1;aristarchus demas lucas,1;begotten in m,1;bold in christ,1;brother let me,1;brother unt i,1;but withal prepare,1;christ and timothy,1;christ jesus marcus,1	aristarchus demas lucas my,1;brother unt i thank,1;christ jesus marcus aristarchus,1;demas lucas my fellowlabourers,1;fellowprisoner in christ jesus,1;god making mention of,1;great joy and consolation,1;if he hath wronged,1;in christ jesus marcus,1;jesus christ and timothy,
The Epistle of Paul the Apostle to the Hebrews	high priest,8;enter into,5;through faith,4;if they,3;if we,3;rule over,3;angels said,2;certain place,2;covenant had,2;draw back,2	an high priest,4;rule over you,3;the rule over,3;things to come,3;a certain place,2;a good report,2;a little lower,2;angels said he,2;blood of bulls,2;by faith abraham,2	a good report through,2;a little lower than,2;enter into my rest,2;good report through faith,2;good things to come,2;little lower than the,2;lower than the angels,2;obtained a good report,2;1 but exhort one,1;21 fo and they,
The General Epistle of James	another brethren,2;beloved brethren,2;draw nigh,2;jesus christ,2;let hi,2;lord jesus,2;man say,2;1 1,1;adulteresses know,1;adultery said,1	among you let,2;draw nigh to,2;envying and strife,2;if any man,2;justified by works,2;let him ask,2;lord jesus christ,2;my beloved brethren,2;there is one,2;1 1 for,1	a double minded man,1;a fountain send forth,1;a man may say,1;above is first pure,1;abraham our father justified,1;adulterers and adulteresses know,1;adultery said also do,1;afflicted let him pray,1;against another brethren lest,1;also do not kill,
The First Epistle General of Peter	christ also,2;christ whic,2;jesus christ,2;submit yourselves,2;time past,2;abstai submit,1;adorning let,1;al humble,1;also hath,1;also now,1	if any man,2;a chosen generation,1;a christian let,1;a crow likewise,1;a faithful brother,1;a living stone,1;a royal priesthood,1;a season if,1;a yet if,1;above all things,1	a faithful brother unto,1;a living stone disallowed,1;a season if need,1;abstai submit yourselves to,1;according to knowledge finally,1;adorning of plaiting th,1;al humble yourselves therefore,1;also hath once suffered,1;also now save us,1;also wh likewise ye,
The Second General Epistle of Peter	these things,4;beloved seeing,2;able after,1;abound they,1;after they,1;allur while,1;also among,1;beasts made,1;been better,1;before bewar,1	able after my,1;abound they make,1;after my decease,1;after they have,1;all diligence add,1;all these things,1;allur while they,1;also among the,1;among the people,1;and abound they,1	able after my decease,1;abound they make you,1;after my decease t,1;after they have escaped,1;allur while they promise,1;also among the people,1;among the people even,1;and abound they make,1;and cannot see afa,1;apostle of jesus christ,
The First Epistle General of John	if we,8;little children,7;we know,7;these things,4;written unto,4;god hath,3;love one,3;one another,3;we keep,3;we love,3	we know that,6;know that we,5;born of god,4;hateth his brother,4;written unto you,4;i write unto,3;if we say,3;love of god,3;love one another,3;say that we,3	we know that we,4;if we say that,3;we say that we,3;if our heart condemn,2;a little children keep,1;again a new commandment,1;also so to walk,1;also to love one,1;an beloved if god,1;an if we receive,
The Second Epistle General of John	children walking,1;children whom,1;doctrine o,1;doctrine receiv,1;elder unto,1;elect lady,1;elect sister,1;entered into,1;if there,1;o if,1	after his commandments,1;are entered into,1;beseech thee lady,1;children walking in,1;children whom i,1;come any unto,1;confess no look,1;deceivers are entered,1;doctrine o if,1;doctrine receiv having,1	children walking in truth,1;children whom i love,1;deceivers are entered into,1;doctrine o if there,1;doctrine receiv having many,1;elder unto the elect,1;elect sister greet thee,1;entered into the world,1;fro i rejoiced greatly,1;if there come any,
The Third Epistle General of John	truth beloved,2;beloved follow,1;brethren came,1;children walk,1;demetrius hath,1;doest faithfully,1;doeth beloved,1;elder unto,1;faithfully whatsoever,1;gaius whom,1	above all things,1;and pen writ,1;and testified o,1;beloved follow not,1;beloved i wish,1;beloved thou doest,1;brethren came and,1;came and testified,1;children walk in,1;church but diotrephes,1	beloved i wish above,1;beloved thou doest faithfully,1;brethren came and testified,1;came and testified o,1;children walk in truth,1;demetrius hath good report,1;doest faithfully whatsoever thou,1;doest to th we,1;doeth beloved follow not,1;elder unto the wellbeloved,
The General Epistle of Jude	before o,2;1 23,1;about them,1;adam prophesied,1;also these,1;beloved building,1;beloved remember,1;bu woe,1;building up,1;certain men,1	1 23 and,1;23 and other,1;a difference 1,1;able to keep,1;about them in,1;adam prophesied of,1;after their own,1;also the seventh,1;also these filthy,1;and enoch also,1	1 23 and other,1;23 and other now,1;a difference 1 23,1;about them in lik,1;adam prophesied of these,1;after their own lusts,1;also these filthy dreamers,1;and other now unto,1;are certain men crept,1;are murmurers complainers walking,
The Revelation of Saint John the Divine	saith unto,11;another angel,8;ear let,8;poured out,7;spirit saith,7;these things,7;unto th,7;angel poured,6;angel sounded,6;four beasts,6	an ear let,8;ear let him,8;let him hear,8;hath an ear,7;out his vial,7;poured out his,7;saith unto th,7;spirit saith unto,7;the spirit saith,7;angel poured out,6	ear let him hear,8;hath an ear let,7;poured out his vial,7;spirit saith unto th,7;the spirit saith unto,7;angel poured out his,6;out his vial upon,6;saith unto th and,6;and another angel came,4;heard a great voice,
THE BOOK OF GENESIS	genesis chapter,49;lord god,28;god hath,24;god said,20;into egypt,19;seven years,19;they had,18;years old,18;begot sons,17;brought forth,17	upon the earth,45;land of chanaan,33;years and begot,33;the lord god,25;land of egypt,22;sons and daughters,21;begot sons and,17;called his name,17;said to them,17;after he begot,16	begot sons and daughters,17;years and begot sons,16;lived after he begot,15;she called his name,9;she conceived and bore,7;thirty years and begot,6;five years and begot,5;hundred and thirty years,5;lifting up his eyes,5;whole land of egypt,
THE BOOK OF EXODUS	shalt make,45;lord said,42;exodus chapter,39;lord had,35;had commanded,31;moses said,28;setim wood,27;let them,23;made also,23;make also,22	children of israel,123;land of egypt,60;thou shalt make,45;the lord said,42;said to moses,41;lord said to,38;the lord had,35;moses and aaron,32;lord had commanded,26;of setim wood,23	lord said to moses,32;the lord had commanded,26;thou shalt make also,22;lord spoke to moses,18;and scarlet twice dyed,17;purple and scarlet twice,17;spoke to moses saying,15;and fine twisted linen,12;scarlet twice dyed and,12;twice dyed and fine,1
THE BOOK OF LEVITICUS	lord spoke,34;moses saying,27;peace offerings,27;leviticus chapter,26;seven days,25;without blemish,19;seven times,15;round about,14;saying speak,14;blood thereof,13	children of israel,51;am the lord,49;before the lord,46;the lord spoke,34;upon the altar,34;lord spoke to,33;spoke to moses,33;to moses saying,27;lord your god,24;wash his clothes,18	lord spoke to moses,33;spoke to moses saying,27;shalt say to them,11;moses saying speak to,10;to moses saying speak,10;being washed with water,8;hand upon the head,8;the lord had commanded,8;them upon the altar,8;do no servile work,
THE BOOK OF NUMBERS	year old,44;lord spoke,38;numbers chapter,35;years old,35;lord had,28;moses saying,27;buck goat,26;lord said,26;had commanded,23;reckoned up,23	children of israel,144;a year old,44;spoke to moses,38;the lord spoke,38;lord spoke to,37;moses and aaron,32;the lord had,28;years old and,28;old and upward,26;the lord said,26	lord spoke to moses,37;spoke to moses saying,26;years old and upward,25;buck goat for sin,23;the lord had commanded,22;flour tempered with oil,21;from twenty years old,19;twenty years old and,19;lord said to moses,18;a year old without,1
THE BOOK OF DEUTERONOMY	deuteronomy chapter,33;god hath,24;strange gods,20;lord hath,16;neither shalt,16;take away,16;hath commanded,14;shalt do,14;shalt go,14;say amen,12	lord thy god,202;lord your god,41;before the lord,22;lord our god,22;children of israel,20;god will give,18;neither shalt thou,16;the lord hath,16;into the land,15;out of egypt,15	lord thy god hath,14;people shall say amen,11;say amen cursed be,11;shall say amen cursed,10;take away the evil,9;abraham isaac and jacob,8;shalt take away the,8;thou shalt take away,8;away the evil out,6;god may bless thee,
THE BOOK OF JOSUE	josue chapter,23;had commanded,18;half tribe,17;lord had,15;over against,15;josue said,13;lord said,11;round about,11;east side,10;four cities,10	children of israel,67;one the king,30;lord your god,22;tribe of manasses,22;beyond the jordan,19;the half tribe,17;half tribe of,16;god of israel,15;the lord had,15;lord the god,14	half tribe of manasses,16;the lord had commanded,13;lord said to josue,10;their suburbs four cities,6;the most salt sea,5;children of israel slew,4;far advanced in years,4;lord had commanded moses,4;lot came out to,4;old and far advanced,
THE BOOK OF JUDGES	they had,24;judges chapter,20;they said,16;fight against,15;lord said,14;them into,14;went down,14;answered them,13;hundred men,13;went out,13	children of israel,42;children of ammon,23;children of benjamin,18;said to them,18;the lord said,14;lord said to,12;against the children,11;and they said,11;into the hands,11;they said to,11	fight against the children,7;delivered them into the,5;the lord hath delivered,5;the three hundred men,5;them into the hands,5;children of israel went,4;eglon king of moab,4;in those days there,4;lord said to gedeon,4;the lord came upon,
THE BOOK OF RUTH	booz said,6;she answered,5;she had,5;she said,5;near kinsman,3;noemi said,3;ruth chapter,3;she arose,3;she told,3;she went,3	mother in law,12;and booz said,5;booz said to,5;ears of corn,4;ruth the moabitess,4;and she arose,3;and she told,3;glean the ears,3;into the city,3;land of moab,3	six measures of barley,3;and they lifted up,2;do so and so,2;law and noemi said,2;lifted up their voice,2;lord do so and,2;mother in law said,2;raise up the name,2;she said to them,2;the lord do so,
THE FIRST BOOK OF SAMUEL, OTHERWISE CALLED THE FIRST BOOK OF KINGS	saul said,45;david said,34;1 kings,31;kings chapter,30;samuel said,29;lord hath,21;went up,18;they said,17;lord said,13;they had,13	and saul said,36;1 kings chapter,30;and david said,28;saul said to,28;and samuel said,27;the lord hath,21;david said to,20;said to david,19;samuel said to,19;ark of god,17	samuel said to saul,6;the lord came upon,6;lord said to samuel,5;saul said to david,5;the lord hath delivered,5;do so and so,4;had made an end,4;jonathan said to david,4;king’s son in law,4;lord and samuel said,
THE SECOND BOOK OF SAMUEL, OTHERWISE CALLED THE SECOND BOOK OF KINGS	king said,36;david said,30;2 kings,23;kings chapter,23;king david,20;o lord,15;o king,13;lord hath,12;david sent,11;they came,11	the king said,36;lord the king,28;and david said,26;king said to,24;2 kings chapter,23;david said to,22;children of ammon,16;son of saul,14;house of saul,13;ark of god,12	my lord o king,6;came to pass after,5;king over israel and,4;passed over the jordan,4;after seba the son,3;david consulted the lord,3;david said to urias,3;god save thee o,3;holocausts and peace offerings,3;lord’s anointed and david,
THE THIRD BOOK OF KINGS	king solomon,36;3 kings,22;kings chapter,21;round about,18;high places,16;over israel,16;people israel,16;lord came,14;lord hath,13;lord god,12	king of israel,41;3 kings chapter,21;children of israel,20;god of israel,20;man of god,20;king of juda,16;lord the god,16;david my father,14;the lord came,14;before the lord,13	asa king of juda,10;king of israel said,8;made israel to sin,8;year of asa king,8;achab king of israel,5;there was war between,5;josaphat king of juda,4;my lord o king,4;servant david my father,4;twentieth year of asa,
THE FOURTH BOOK OF KINGS	4 kings,24;kings chapter,24;high places,22;evil before,17;had made,16;went up,16;years old,16;had done,15;son reigned,15;eliseus said,14	king of israel,46;king of juda,46;man of god,36;king of syria,25;saith the lord,25;4 kings chapter,24;before the lord,24;kings of israel,22;they not written,22;king of babylon,21	evil before the lord,16;made israel to sin,12;nabat who made israel,10;and twenty years old,8;did evil before the,8;hazael king of syria,8;he did evil before,8;twenty years old when,8;before the lord according,7;josaphat king of juda,
THE FIRST BOOK OF PARALIPOMENON	1 paralipomenon,28;paralipomenon chapter,28;brethren twelve,23;twenty thousand,20;most valiant,18;valiant men,16;o lord,15;david said,14;king david,12;half tribe,10	1 paralipomenon chapter,28;his brethren twelve,23;brethren twelve the,22;and twenty thousand,18;four and twenty,15;children of ammon,12;god of israel,12;tribe of manasses,12;most valiant men,11;sons of merari,11	four and twenty thousand,13;half tribe of manasses,10;king over all israel,4;most valiant men and,4;sons of merari moholi,4;adarezer king of soba,3;begot azarias azarias begot,3;from twenty years old,3;holocausts and peace offerings,3;in like manner also,
THE SECOND BOOK OF PARALIPOMENON	2 paralipomenon,35;paralipomenon chapter,35;years old,26;they had,16;father had,15;had made,15;lord god,15;twenty years,14;go out,13;high places,13	lord the god,43;2 paralipomenon chapter,35;king of israel,31;children of israel,23;king of juda,23;god of israel,22;began to reign,19;years old when,18;house of god,17;juda and jerusalem,17	and twenty years old,8;his stead 2 paralipomenon,8;stead 2 paralipomenon chapter,8;twenty years old when,8;fathers and they buried,7;five and twenty years,6;his father had done,6;joiada the high priest,6;josaphat king of juda,6;five cubits long and,
THE FIRST BOOK OF ESDRAS	two hundred,12;hundred twenty,10;1 esdras,9;esdras chapter,9;three hundred,8;cyrus king,7;six hundred,7;strange wives,7;hundred forty,6;seven hundred,6	house of god,13;beyond the river,12;god of israel,11;temple of god,11;1 esdras chapter,9;god of heaven,9;lord the god,8;silver and gold,8;cyrus king of,7;two the children,7	a thousand two hundred,4;country beyond the river,4;hundred twenty three the,4;reum beelteem and samsai,4;twenty three the children,4;fifty four the children,3;first year of cyrus,3;had taken strange wives,3;hundred fifty four the,3;a hundred twenty eight,
THE BOOK OF NEHEMIAS, WHICH IS CALLED THE SECOND OF ESDRAS	over against,14;singing men,14;2 esdras,12;esdras chapter,12;hundred twenty,12;hundred forty,10;gavest them,9;set up,9;three hundred,9;they should,8	2 esdras chapter,12;after him built,11;came to pass,11;the singing men,11;children of israel,10;said to them,10;house of god,9;set up the,8;singing men and,8;them and they,8	set up the doors,8;up the doors thereof,6;next to them built,4;over against his house,4;country beyond the river,3;eliasib the high priest,3;hundred twenty eight the,3;one thousand two hundred,3;them that they should,3;thousand drams of gold,
THE BOOK OF TOBIAS	tobias chapter,13;tobias said,13;o lord,12;then tobias,10;angel said,8;they had,7;angel raphael,6;seven husbands,6;these things,6;good things,5	and tobias said,11;tobias said to,9;the angel said,8;angel said to,7;anna his wife,6;god of israel,6;the angel raphael,6;children of israel,5;rages a city,5;bury the dead,4	and now o lord,3;lord god of israel,3;after he had lived,2;and after they had,2;been given to seven,2;bless thee o lord,2;children of israel tobias,2;given to seven husbands,2;had done so he,2;he had done so,
THE BOOK OF JUDITH	judith chapter,15;these things,13;o lord,8;judith said,7;they came,7;after them,6;she had,6;they had,6;went out,6;cut off,5	children of israel,15;god of israel,9;came to pass,8;head of holofernes,7;and judith said,6;people of israel,6;god of heaven,5;lord our god,5;after them and,4;holofernes said to,4	after them and they,2;am fled from them,2;cut off his head,2;he had passed through,2;he would revenge himself,2;hundred and twenty thousand,2;let us go up,2;look upon the camp,2;me o lord god,2;men had heard her,
THE BOOK OF ESTHER	king assuerus,17;esther chapter,15;o lord,10;king said,9;mardochai had,8;these things,7;twelfth month,7;had prepared,6;month adar,6;she had,6	the king said,9;if it please,7;of king assuerus,7;the twelfth month,7;whom the king,6;aman the son,5;and twenty seven,5;city of susan,5;hundred and twenty,5;india to ethiopia,5	and twenty seven provinces,5;hundred and twenty seven,5;ten sons of aman,4;edict was hung up,3;hung up in susan,3;second after the king,3;a people scattered through,2;abounded into many waters,2;and king assuerus answered,2;answered if it please,
THE BOOK OF JOB	job chapter,41;taken away,15;these things,13;round about,12;god hath,11;job answered,10;then job,9;bring forth,7;come upon,7;them they,7	answered and said,19;job answered and,8;then job answered,8;eliphaz the themanite,6;lord said to,6;my servant job,6;power of god,6;shadow of death,6;the lord said,6;all these things,5	job answered and said,8;then job answered and,6;lord said to satan,4;baldad the suhite answered,3;eliphaz the themanite answered,3;fearing god and avoiding,3;god and avoiding evil,3;themanite answered and said,3;then baldad the suhite,3;added taking up his,
THE BOOK OF PSALMS	o lord,242;psalms chapter,149;o god,95;let them,55;right hand,45;lord hath,38;mercy endureth,35;david himself,23;give praise,23;round about,22	unto the end,65;the lord hath,38;endureth for ever,36;his mercy endureth,35;mercy endureth for,35;psalm for david,35;thee o lord,35;me o lord,29;ever and ever,25;o lord my,25	mercy endureth for ever,35;o lord my god,13;for ever psalms chapter,11;psalm for david himself,8;the lord psalms chapter,8;bless the lord o,6;exhortation to praise god,6;rise up against me,6;st jerome renders it,6;thy name o lord,
