THE BOOK OF GENESIS	genesis chapter,6.99;lord god,5.07;god hath,4.80;seven years,4.33;into egypt,4.31;years old,4.22;father’s house,4.11;brought forth,4.10;begot sons,4.06;went out,4.05;she called,4.00;god said,3.98;lived after,3.97;they had,3.93;five years,3.59;said let,3.43;these things,3.43;hundred years,3.42;she said,3.36;she bore,3.27	upon the earth,6.70;land of chanaan,5.74;years and begot,5.74;the lord god,4.98;land of egypt,4.69;sons and daughters,4.58;called his name,4.12;begot sons and,4.12;said to them,4.11;after he begot,4.00;and begot sons,4.00;lived after he,3.87;called the name,3.87;the lord said,3.58;and god said,3.42;into the ark,3.31;god said to,3.30;bore a son,3.16;five years and,3.16;the lord hath,3.15	begot sons and daughters,4.12;years and begot sons,4.00;lived after he begot,3.87;she called his name,3.00;she conceived and bore,2.65;thirty years and begot,2.45;lifting up his eyes,2.24;hundred and thirty years,2.24;whole land of egypt,2.24;five years and begot,2.24;built there an altar,2.00;sem cham and japheth,2.00;answered here i am,2.00;god hath given me,2.00;whom she bore to,2.00;god had commanded him,2.00;hundred years and begot,2.00;two years and begot,2.00;so done and god,2.00;go into the land,2.0
THE BOOK OF EXODUS	shalt make,6.59;exodus chapter,6.24;lord said,6.17;lord had,5.72;had commanded,5.54;setim wood,5.19;moses said,5.04;made also,4.72;let them,4.62;make also,4.61;round about,4.58;shalt put,4.55;purest gold,4.35;moses saying,4.27;lord spoke,4.27;twisted linen,4.24;they may,4.18;twice dyed,4.12;scarlet twice,4.12;fine twisted,4.12	children of israel,11.09;land of egypt,7.74;thou shalt make,6.71;the lord said,6.45;said to moses,6.40;lord said to,6.16;the lord had,5.90;moses and aaron,5.65;lord had commanded,5.10;of setim wood,4.80;shalt make also,4.69;and moses said,4.67;the purest gold,4.36;spoke to moses,4.36;thou shalt put,4.36;that they may,4.36;said to them,4.35;the lord spoke,4.35;purple and scarlet,4.24;he made also,4.24	lord said to moses,5.66;the lord had commanded,5.10;thou shalt make also,4.69;lord spoke to moses,4.24;and scarlet twice dyed,4.12;purple and scarlet twice,4.12;spoke to moses saying,3.87;scarlet twice dyed and,3.46;twice dyed and fine,3.46;and fine twisted linen,3.46;lord had commanded moses,3.32;dyed and fine twisted,2.83;people go to sacrifice,2.83;lord had commanded and,2.83;let the people go,2.83;let my people go,2.65;children of israel out,2.65;stretch forth thy hand,2.45;purple scarlet and fine,2.45;shalt make also a,2.4
THE BOOK OF LEVITICUS	lord spoke,5.75;peace offerings,5.19;moses saying,5.18;leviticus chapter,5.09;seven days,4.99;without blemish,4.34;seven times,3.87;round about,3.74;saying speak,3.73;blood thereof,3.54;little kidneys,3.46;shalt say,3.43;those things,3.31;had commanded,3.30;them upon,3.23;most sweet,3.16;seventh day,3.14;hath been,3.14;most holy,3.13;these things,3.13	children of israel,7.14;am the lord,6.99;before the lord,6.77;upon the altar,5.82;the lord spoke,5.82;spoke to moses,5.74;lord spoke to,5.74;to moses saying,5.20;lord your god,4.90;wash his clothes,4.24;of peace offerings,4.12;if any man,4.00;washed with water,3.74;saying speak to,3.74;shalt not uncover,3.61;say to them,3.60;sons of aaron,3.60;the blood thereof,3.60;tempered with oil,3.46;thou shalt say,3.46	lord spoke to moses,5.74;spoke to moses saying,5.20;shalt say to them,3.32;moses saying speak to,3.16;to moses saying speak,3.16;being washed with water,2.83;hand upon the head,2.83;the lord had commanded,2.83;them upon the altar,2.83;do no servile work,2.65;put his hand upon,2.65;shall burn them upon,2.65;upon the head thereof,2.65;no servile work therein,2.45;or two young pigeons,2.45;turtles or two young,2.45;dying let him die,2.45;two turtles or two,2.45;lower than the other,2.45;the two little kidneys,2.4
THE BOOK OF NUMBERS	year old,6.61;lord spoke,6.08;numbers chapter,5.91;years old,5.90;moses saying,5.14;buck goat,5.09;lord had,5.05;lord said,4.82;reckoned up,4.78;had commanded,4.77;flour tempered,4.69;without blemish,4.35;they came,4.35;twenty years,4.35;five hundred,4.31;they camped,4.30;peace offerings,4.12;old without,4.10;thousand five,4.08;over against,3.97	children of israel,11.99;a year old,6.63;spoke to moses,6.16;the lord spoke,6.16;lord spoke to,6.08;moses and aaron,5.65;years old and,5.29;the lord had,5.27;old and upward,5.10;to moses saying,5.10;the lord said,5.07;a buck goat,5.00;said to moses,5.00;tempered with oil,4.90;buck goat for,4.90;lord said to,4.89;before the lord,4.88;goat for sin,4.80;flour tempered with,4.69;lord had commanded,4.69	lord spoke to moses,6.08;spoke to moses saying,5.10;years old and upward,5.00;buck goat for sin,4.80;the lord had commanded,4.69;flour tempered with oil,4.58;from twenty years old,4.36;twenty years old and,4.36;lord said to moses,4.24;year old without blemish,4.12;a year old without,4.12;go forth to war,3.74;old without blemish and,3.74;hundred and thirty sicles,3.61;peace offerings two oxen,3.46;offerings two oxen five,3.46;oxen five rams five,3.46;two oxen five rams,3.46;a silver dish weighing,3.46;sacrifice a little mortar,3.4
THE BOOK OF DEUTERONOMY	deuteronomy chapter,5.74;god hath,4.59;strange gods,4.47;take away,3.98;neither shalt,3.86;hath commanded,3.69;shalt do,3.50;shalt go,3.50;lord hath,3.48;say amen,3.46;amen cursed,3.31;pass over,3.30;go up,3.26;shalt take,3.26;round about,3.16;long time,3.15;hath spoken,3.14;lord said,3.05;lest perhaps,3.00;they may,2.99	lord thy god,14.20;lord your god,6.40;lord our god,4.69;before the lord,4.67;children of israel,4.47;god will give,4.24;neither shalt thou,4.00;the lord hath,3.96;out of egypt,3.87;into the land,3.86;within thy gates,3.74;land of egypt,3.74;thy god hath,3.73;over the jordan,3.46;god shall choose,3.46;take away the,3.46;thou shalt take,3.46;say amen cursed,3.32;amen cursed be,3.32;shall say amen,3.32	lord thy god hath,3.74;say amen cursed be,3.32;people shall say amen,3.32;shall say amen cursed,3.16;take away the evil,3.00;abraham isaac and jacob,2.83;thou shalt take away,2.83;shalt take away the,2.83;two tables of stone,2.45;yet so if thou,2.45;away the evil out,2.45;god may bless thee,2.45;thy god may bless,2.45;lord thy god may,2.45;og king of basan,2.24;fathers abraham isaac and,2.24;enter into the church,2.24;pass over the jordan,2.24;land flowing with milk,2.00;thy fathers abraham isaac,2.0
THE BOOK OF JOSUE	josue chapter,4.76;had commanded,4.20;half tribe,4.10;over against,3.85;lord had,3.62;josue said,3.43;round about,3.31;passed over,3.15;present day,3.15;east side,3.15;four cities,3.15;had done,3.13;lord said,3.07;goeth down,2.99;goeth out,2.97;went up,2.96;came out,2.95;go up,2.95;king thereof,2.94;great sea,2.80	children of israel,8.18;one the king,5.47;lord your god,4.69;tribe of manasses,4.69;beyond the jordan,4.36;the half tribe,4.12;half tribe of,4.00;god of israel,3.86;the lord had,3.85;said to them,3.74;lord the god,3.72;lord had commanded,3.61;moses the servant,3.60;children of juda,3.60;said to josue,3.60;children of ruben,3.31;josue said to,3.31;lord said to,3.31;the lord said,3.29;this present day,3.16	half tribe of manasses,4.00;the lord had commanded,3.61;lord said to josue,3.16;their suburbs four cities,2.45;the most salt sea,2.24;far advanced in years,2.00;old and far advanced,2.00;lord had commanded moses,2.00;lot came out to,2.00;the jordan over against,2.00;children of israel slew,2.00;jordan over against jericho,1.73;suburbs four cities and,1.73;lord your god hath,1.73;lord had commanded him,1.73;said to josue fear,1.73;said to them go,1.73;children of israel gave,1.73;josue said to them,1.73;lord god of israel,1.7
THE BOOK OF JUDGES	they had,4.61;judges chapter,4.47;fight against,3.85;went down,3.69;hundred men,3.56;went out,3.49;they said,3.47;answered them,3.46;mount ephraim,3.45;them into,3.44;thousand men,3.41;lord said,3.41;went up,3.38;delivered them,3.36;judged israel,3.29;had done,3.27;went into,3.19;three hundred,3.15;they went,3.13;ten thousand,2.99	children of israel,6.48;children of ammon,4.79;children of benjamin,4.24;said to them,4.23;the lord said,3.72;lord said to,3.45;zebee and salmana,3.32;into the hands,3.31;against the children,3.31;they said to,3.30;and they said,3.27;to fight against,3.16;fight against the,3.00;he answered them,3.00;delivered them into,2.83;them and they,2.75;three hundred men,2.65;father in law,2.65;he judged israel,2.65;the lord delivered,2.64	fight against the children,2.65;the three hundred men,2.24;the lord hath delivered,2.24;delivered them into the,2.24;them into the hands,2.24;eglon king of moab,2.00;those days there was,2.00;in those days there,2.00;up out of egypt,2.00;lord said to gedeon,2.00;the lord came upon,2.00;children of israel went,2.00;they went into the,2.00;shalt conceive and bear,1.73;ten thousand fighting men,1.73;hundred pieces of silver,1.73;let fire come out,1.73;five and twenty thousand,1.73;fire come out from,1.73;three hundred men that,1.7
THE BOOK OF RUTH	booz said,2.35;she answered,2.14;she had,2.13;she said,1.99;six measures,1.73;young men,1.73;near kinsman,1.72;ruth chapter,1.72;she arose,1.70;she told,1.69;she went,1.63;noemi said,1.61;so she,1.61;latter kindness,1.41;false gods,1.41;find grace,1.41;cut off,1.41;two sons,1.41;put off,1.41;almighty hath,1.41	mother in law,3.46;booz said to,2.23;and booz said,2.23;ears of corn,2.00;ruth the moabitess,2.00;six measures of,1.73;measures of barley,1.73;glean the ears,1.73;land of moab,1.73;into the city,1.73;and she arose,1.73;said to them,1.73;and she told,1.73;lifted up their,1.41;up their voice,1.41;thy latter kindness,1.41;his two sons,1.41;they lifted up,1.41;began to weep,1.41;whatsoever thou shalt,1.41	six measures of barley,1.73;lifted up their voice,1.41;they lifted up their,1.41;raise up the name,1.41;and they lifted up,1.41;mother in law said,1.41;do so and so,1.41;the lord do so,1.41;lord do so and,1.41;she said to them,1.41;law and noemi said,1.41;either poor or rich,1.00;left alone having lost,1.00;alone having lost both,1.00;men either poor or,1.00;latter kindness has surpassed,1.00;threshingfloor wash thyself therefore,1.00;gather them without shame,1.00;thamar bore unto juda,1.00;phares whom thamar bore,1.0
THE FIRST BOOK OF SAMUEL, OTHERWISE CALLED THE FIRST BOOK OF KINGS	saul said,6.20;1 kings,5.56;kings chapter,5.47;david said,5.29;samuel said,5.08;lord hath,4.31;went up,4.17;they said,3.53;go up,3.37;went out,3.37;they had,3.35;gathered together,3.31;father’s house,3.31;lord liveth,3.25;they went,3.25;they came,3.21;fight against,3.14;over israel,3.08;jonathan said,3.04;evil spirit,2.99	and saul said,5.96;1 kings chapter,5.48;saul said to,5.27;and david said,5.25;and samuel said,5.17;the lord hath,4.56;david said to,4.45;samuel said to,4.35;said to david,4.33;ark of god,4.12;god of israel,4.12;before the lord,4.10;came to pass,3.87;and they said,3.83;children of israel,3.60;said to saul,3.57;the lord said,3.52;the lord liveth,3.31;said to samuel,3.30;let us go,3.16	the lord came upon,2.45;samuel said to saul,2.45;the lord hath delivered,2.24;lord said to samuel,2.24;saul said to david,2.24;had made an end,2.00;king’s son in law,2.00;do so and so,2.00;o lord god of,2.00;lord god of israel,2.00;jonathan said to david,2.00;lord and samuel said,2.00;cut off the hem,1.73;heli ophni and phinees,1.73;philistines were gathered together,1.73;sons of heli ophni,1.73;david his ten thousands,1.73;may god do so,1.73;said here am i,1.73;come let us go,1.7
THE SECOND BOOK OF SAMUEL, OTHERWISE CALLED THE SECOND BOOK OF KINGS	king said,5.58;david said,4.95;2 kings,4.79;kings chapter,4.79;o lord,3.79;king david,3.75;o king,3.49;lord hath,3.35;went out,3.23;they came,3.18;these things,3.15;david sent,3.14;lord god,2.94;told david,2.88;king over,2.86;over israel,2.85;joab said,2.84;they had,2.84;king’s sons,2.81;people israel,2.81	the king said,5.97;lord the king,5.26;and david said,5.06;king said to,4.88;2 kings chapter,4.80;david said to,4.67;children of ammon,4.00;son of saul,3.74;house of saul,3.60;ark of god,3.46;men of juda,3.46;men of israel,3.46;the lord hath,3.45;into the city,3.31;before the lord,3.15;and joab said,3.14;o lord god,3.00;came to pass,3.00;son of sarvia,3.00;over the jordan,3.00	my lord o king,2.45;came to pass after,2.24;passed over the jordan,2.00;king over israel and,2.00;holocausts and peace offerings,1.73;years and six months,1.73;men of jabes galaad,1.73;seven years and six,1.73;god save thee o,1.73;young man that told,1.73;save thee o king,1.73;war between the house,1.73;lord’s anointed and david,1.73;sent messengers to david,1.73;the three valiant men,1.73;after seba the son,1.73;so do god to,1.73;david consulted the lord,1.73;went into the house,1.73;david said to urias,1.7
THE THIRD BOOK OF KINGS	king solomon,5.75;3 kings,4.68;kings chapter,4.57;round about,4.24;high places,4.00;over israel,3.87;people israel,3.83;lord came,3.52;lord hath,3.43;went up,3.42;reigned over,3.29;solomon had,3.25;lord god,3.10;go up,3.10;they had,3.09;asa king,3.07;ramoth galaad,3.00;had done,2.97;son reigned,2.94;she said,2.91	king of israel,6.39;3 kings chapter,4.58;man of god,4.47;children of israel,4.47;god of israel,4.46;king of juda,3.99;lord the god,3.97;david my father,3.74;the lord came,3.72;the high places,3.61;saith the lord,3.60;before the lord,3.58;son of joiada,3.46;banaias the son,3.46;the lord hath,3.45;the lord said,3.41;david his father,3.32;and king solomon,3.28;lord the king,3.24;sadoc the priest,3.16	asa king of juda,3.16;made israel to sin,2.83;year of asa king,2.83;king of israel said,2.83;there was war between,2.24;achab king of israel,2.24;twentieth year of asa,2.00;servant david my father,2.00;wherewith he made israel,2.00;my lord o king,2.00;josaphat king of juda,2.00;bread nor drink water,1.73;eat bread nor drink,1.73;put no fire under,1.73;i alone am left,1.73;victims of peace offerings,1.73;master elias is here,1.73;tell thy master elias,1.73;trees and fir trees,1.73;most pure gold and,1.7
THE FOURTH BOOK OF KINGS	kings chapter,4.88;4 kings,4.88;high places,4.68;evil before,4.10;years old,3.99;went up,3.93;had made,3.90;had done,3.83;son reigned,3.78;went out,3.66;twenty years,3.60;eliseus said,3.59;over israel,3.39;made israel,3.32;lord hath,3.31;joas king,3.17;did evil,3.14;come down,3.13;hath sent,3.13;they went,3.07	king of juda,6.77;king of israel,6.76;man of god,6.00;king of syria,5.00;saith the lord,4.99;4 kings chapter,4.90;before the lord,4.88;they not written,4.69;kings of israel,4.68;king of babylon,4.58;the high places,4.47;began to reign,4.36;kings of juda,4.12;evil before the,4.00;said to them,3.99;his son reigned,3.87;son reigned in,3.87;years old when,3.74;house of achab,3.60;jerusalem the name,3.60	evil before the lord,4.00;made israel to sin,3.46;nabat who made israel,3.16;twenty years old when,2.83;and twenty years old,2.83;he did evil before,2.83;hazael king of syria,2.83;did evil before the,2.83;over israel in samaria,2.65;josaphat king of juda,2.65;before the lord according,2.65;stead 4 kings chapter,2.45;his stead 4 kings,2.45;amasias king of juda,2.45;ochozias king of juda,2.45;king of juda reigned,2.45;joas king of israel,2.45;that they may eat,2.24;nabuchodonosor king of babylon,2.24;year of azarias king,2.2
THE FIRST BOOK OF PARALIPOMENON	1 paralipomenon,5.28;paralipomenon chapter,5.28;brethren twelve,4.77;twenty thousand,4.45;most valiant,4.24;valiant men,3.98;o lord,3.83;david said,3.65;king david,3.33;half tribe,3.16;like manner,3.00;king over,2.91;they had,2.86;over israel,2.84;thousand talents,2.82;two hundred,2.81;they dwelt,2.77;round about,2.64;over against,2.60;they gave,2.59	1 paralipomenon chapter,5.29;his brethren twelve,4.80;brethren twelve the,4.69;and twenty thousand,4.24;four and twenty,3.87;children of ammon,3.46;tribe of manasses,3.46;god of israel,3.45;most valiant men,3.32;sons of merari,3.31;half tribe of,3.16;the half tribe,3.16;ark of god,3.16;sons of aaron,3.16;sons of levi,3.16;in like manner,3.00;company were four,3.00;david said to,3.00;sons of caath,2.99;and david said,2.99	four and twenty thousand,3.61;half tribe of manasses,3.16;sons of merari moholi,2.00;most valiant men and,2.00;king over all israel,2.00;from twenty years old,1.73;holocausts and peace offerings,1.73;begot azarias azarias begot,1.73;merari moholi and musi,1.73;adarezer king of soba,1.73;valiant men for war,1.73;lord 1 paralipomenon chapter,1.73;twenty years old and,1.73;in like manner also,1.73;the captains over thousands,1.73;over against their brethren,1.73;to make david king,1.73;son thahath his son,1.73;went over to david,1.73;the lord 1 paralipomenon,1.7
THE SECOND BOOK OF PARALIPOMENON	paralipomenon chapter,5.91;2 paralipomenon,5.91;years old,5.09;father had,3.78;twenty years,3.72;had made,3.71;they had,3.60;high places,3.60;go out,3.57;gathered together,3.46;had been,3.43;they buried,3.42;valiant men,3.31;high priest,3.31;hundred thousand,3.28;had done,3.28;son reigned,3.27;o lord,3.23;lord god,3.22;six hundred,3.15	lord the god,6.52;2 paralipomenon chapter,5.92;king of israel,5.55;children of israel,4.79;king of juda,4.78;god of israel,4.68;began to reign,4.36;years old when,4.24;house of god,4.11;juda and jerusalem,4.11;years in jerusalem,4.00;inhabitants of jerusalem,3.87;city of david,3.87;cities of juda,3.87;before the lord,3.85;his father had,3.60;they buried him,3.46;and they buried,3.46;his son reigned,3.32;son reigned in,3.32	stead 2 paralipomenon chapter,2.83;twenty years old when,2.83;his stead 2 paralipomenon,2.83;and twenty years old,2.83;fathers and they buried,2.65;joiada the high priest,2.45;his father had done,2.45;five and twenty years,2.45;josaphat king of juda,2.45;five cubits long and,2.24;lord god of israel,2.24;mercy endureth for ever,2.00;was five cubits long,2.00;went out to meet,2.00;and thirty years old,2.00;david his father had,2.00;israel said to josaphat,2.00;david king of israel,2.00;king of israel said,2.00;thirty years old when,1.7
THE FIRST BOOK OF ESDRAS	two hundred,3.40;hundred twenty,3.12;1 esdras,2.99;esdras chapter,2.99;three hundred,2.77;strange wives,2.64;six hundred,2.60;cyrus king,2.60;taken strange,2.44;hundred forty,2.42;seven hundred,2.41;rose up,2.23;singing men,2.22;first day,2.22;had taken,2.22;twenty three,2.21;four hundred,2.20;two thousand,2.20;hundred fifty,2.19;they should,2.19	house of god,3.59;beyond the river,3.46;temple of god,3.31;god of israel,3.30;1 esdras chapter,3.00;god of heaven,3.00;silver and gold,2.83;lord the god,2.81;cyrus king of,2.64;two the children,2.63;taken strange wives,2.45;said to them,2.45;god in jerusalem,2.45;three the children,2.43;son of josedec,2.23;first day of,2.23;lord our god,2.23;esdras the priest,2.23;the first day,2.23;twenty three the,2.23	reum beelteem and samsai,2.00;country beyond the river,2.00;a thousand two hundred,2.00;hundred twenty three the,2.00;twenty three the children,2.00;had taken strange wives,1.73;first year of cyrus,1.73;hundred fifty four the,1.73;fifty four the children,1.73;if it seem good,1.41;stayed there three days,1.41;matter 1 esdras chapter,1.41;have taken strange wives,1.41;we stayed there three,1.41;the walls thereof repaired,1.41;this matter 1 esdras,1.41;which nabuchodonosor had taken,1.41;unto a hundred bates,1.41;letter which they sent,1.41;elam a thousand two,1.4
THE BOOK OF NEHEMIAS, WHICH IS CALLED THE SECOND OF ESDRAS	singing men,3.72;over against,3.72;esdras chapter,3.46;2 esdras,3.46;hundred twenty,3.44;hundred forty,3.14;three hundred,2.98;set up,2.98;gavest them,2.95;two hundred,2.77;they should,2.76;villages thereof,2.64;six hundred,2.63;two thousand,2.62;another measure,2.45;doors thereof,2.44;o lord,2.44;we would,2.43;sabbath day,2.43;said let,2.41	2 esdras chapter,3.46;after him built,3.32;came to pass,3.32;the singing men,3.31;said to them,3.16;children of israel,3.16;house of god,2.99;thou gavest them,2.83;up the doors,2.83;singing men and,2.83;set up the,2.83;them and they,2.78;that they should,2.64;the villages thereof,2.64;over against his,2.45;that we would,2.45;villages thereof and,2.45;the doors thereof,2.45;next to them,2.45;the sabbath day,2.45	set up the doors,2.83;up the doors thereof,2.45;over against his house,2.00;next to them built,2.00;country beyond the river,1.73;thousand drams of gold,1.73;eliasib the high priest,1.73;one thousand two hundred,1.73;hundred twenty eight the,1.73;them that they should,1.73;terrible who keepest covenant,1.41;beseech thee o lord,1.41;if it seem good,1.41;those that could understand,1.41;gates thereof are burnt,1.41;keepest covenant and mercy,1.41;another measure over against,1.41;king if it seem,1.41;thirtieth year of artaxerxes,1.41;let us rise up,1.4
THE BOOK OF TOBIAS	tobias chapter,3.56;o lord,3.44;tobias said,3.40;then tobias,3.08;angel said,2.76;they had,2.54;seven husbands,2.45;angel raphael,2.43;these things,2.43;young man,2.22;good things,2.20;old age,2.00;these words,1.99;give glory,1.99;answering said,1.98;had been,1.98;had done,1.97;fear god,1.93;lord god,1.78;most high,1.73	and tobias said,3.30;tobias said to,2.99;the angel said,2.82;angel said to,2.64;anna his wife,2.45;the angel raphael,2.45;god of israel,2.45;rages a city,2.24;children of israel,2.24;came to pass,2.00;bury the dead,2.00;give glory to,2.00;ever and ever,2.00;said to them,1.99;lord god of,1.99;his wonderful works,1.73;at these words,1.73;the most high,1.73;light of heaven,1.73;now o lord,1.73	and now o lord,1.73;lord god of israel,1.73;ten talents of silver,1.41;would vouchsafe to accept,1.41;hundred and two years,1.41;what can we give,1.41;given to seven husbands,1.41;been given to seven,1.41;seven husbands that went,1.41;heaven give glory to,1.41;the most high god,1.41;after he had lived,1.41;bless thee o lord,1.41;thy name o god,1.41;had done so he,1.41;he had done so,1.41;name o god of,1.41;the angel answering said,1.41;then the angel raphael,1.41;thee o lord god,1.4
THE BOOK OF JUDITH	judith chapter,3.85;these things,3.58;o lord,2.79;judith said,2.56;they came,2.49;went out,2.41;after them,2.36;she had,2.34;young men,2.23;cut off,2.23;had heard,2.22;go out,2.21;they had,2.20;she took,2.19;she went,2.17;lord hath,2.13;holofernes said,2.13;they went,2.10;upon them,2.09;round about,2.00	children of israel,3.87;god of israel,2.99;came to pass,2.83;head of holofernes,2.64;people of israel,2.45;and judith said,2.44;god of heaven,2.23;lord our god,2.23;with one voice,2.00;o lord god,2.00;nabuchodonosor the king,2.00;when they had,2.00;that they might,2.00;judith said to,2.00;holofernes said to,2.00;that they may,2.00;they came to,1.99;after them and,1.99;the lord hath,1.99;upon them and,1.99	there come no aid,1.41;he would revenge himself,1.41;hundred and twenty thousand,1.41;would shew his mercy,1.41;strengthen me o lord,1.41;am fled from them,1.41;only might be called,1.41;these words pleased holofernes,1.41;cut off his head,1.41;he had passed through,1.41;men had heard her,1.41;let us go up,1.41;look upon the camp,1.41;might be called god,1.41;then achior seeing the,1.41;me o lord god,1.41;they had a mind,1.41;words pleased holofernes and,1.41;the men had heard,1.41;prostrate before the lord,1.4
