Colossians	don t,2.44;lord jesus,1.97;christ jesus,1.94;one another,1.72;may know,1.72;jesus christ,1.66;bearing fruit,1.41;giving thanks,1.41;good news,1.41;make known,1.41;knit together,1.41;beloved brother,1.41;faithful servant,1.41;also since,1.40;whom we,1.40;god s,1.38;angels dwelling,1.00;appear like,1.00;archippus take,1.00;barbarian scythian,1.00	lord jesus christ,1.73;the lord jesus,1.73;good news which,1.41;giving thanks to,1.41;whatever you do,1.41;made a servant,1.41;the good news,1.41;since the day,1.41;thanks to god,1.41;also since the,1.41;faith in christ,1.41;servant of christ,1.41;god the father,1.41;in christ jesus,1.41;archippus take heed,1.00;compassion kindness lowliness,1.00;godhead dwells bodily,1.00;immorality uncleanness depraved,1.00;indeed appear like,1.00;openly triumphing over,1.00	also since the day,1.41;the lord jesus christ,1.41;immorality uncleanness depraved passion,1.00;sexual immorality uncleanness depraved,1.00;tell archippus take heed,1.00;amen paul an apostle,1.00;anger wrath malice slander,1.00;barbarian scythian bondservant freeman,1.00;uncleanness depraved passion evil,1.00;compassion kindness lowliness humility,1.00;away anger wrath malice,1.00;depraved passion evil desire,1.00;earth sexual immorality uncleanness,1.00;handle nor taste nor,1.00;laodicea tell archippus take,1.00;nor taste nor touch,1.00;uncircumcision barbarian scythian bondservant,1.00;openly triumphing over them,1.00;them openly triumphing over,1.00;creator where there can,1.0
Ephesians	christ jesus,3.22;jesus christ,2.89;don t,2.82;lord jesus,2.77;heavenly places,2.23;good news,1.99;one another,1.98;building up,1.72;made known,1.72;may know,1.71;whom we,1.69;christ also,1.56;tr reads,1.41;whole armor,1.41;without blemish,1.41;far off,1.41;person nor,1.41;been saved,1.41;far above,1.41;new man,1.41	in christ jesus,2.82;lord jesus christ,2.64;the heavenly places,2.24;our lord jesus,2.24;the good news,2.00;don t be,1.73;good news of,1.73;made known to,1.73;jesus christ to,1.73;the lord jesus,1.72;have been saved,1.41;were far off,1.41;gave himself up,1.41;and without blemish,1.41;far above all,1.41;therefore don t,1.41;whole armor of,1.41;apostles and prophets,1.41;we are members,1.41;also having heard,1.41	our lord jesus christ,2.24;holy and without blemish,1.41;gave himself up for,1.41;whole armor of god,1.41;and gave himself up,1.41;as christ also loved,1.41;heavenly places in christ,1.41;even as christ also,1.41;through jesus christ to,1.41;christ jesus through the,1.41;the lord jesus christ,1.41;corrupt speech proceed out,1.00;she respects her husband,1.00;earth deuteronomy 5 16,1.00;bitterness wrath anger outcry,1.00;each individual part makes,1.00;do exceedingly abundantly above,1.00;sin psalm 4 4,1.00;filthiness nor foolish talking,1.00;flesh genesis 2 24,1.0
Esther	king s,8.09;king ahasuerus,4.59;s house,3.76;king said,3.42;s gate,3.26;didn t,2.99;month adar,2.81;s commandment,2.77;went out,2.63;then esther,2.51;given out,2.43;s servants,2.39;s provinces,2.31;esther had,2.24;man whom,2.23;these days,2.22;thirteenth day,2.22;had prepared,2.21;king let,2.16;king delights,2.16	the king s,8.44;the king said,3.71;then the king,3.57;esther the queen,3.46;king s gate,3.31;before the king,2.98;citadel of susa,2.83;the month adar,2.83;king s commandment,2.83;king s house,2.82;the king ahasuerus,2.61;given out in,2.45;king s servants,2.45;king s provinces,2.44;s house to,2.44;whom the king,2.44;king said to,2.43;the king let,2.42;son of hammedatha,2.24;delights to honor,2.24	the king s gate,3.32;the king s commandment,2.83;the king s house,2.83;the king s servants,2.45;the king s provinces,2.45;king delights to honor,2.24;whom the king delights,2.24;man whom the king,2.24;king s commandment and,2.24;then the king s,2.24;women s house to,2.00;king s servants who,2.00;the women s house,2.00;the king s ring,2.00;the king s eunuchs,2.00;then the king said,2.00;hundred twenty seven provinces,1.73;t lay their hand,1.73;didn t lay their,1.73;they didn t lay,1.7
1 Corinthians	don t,6.71;doesn t,4.42;jesus christ,3.95;god s,3.87;lord jesus,3.69;good news,3.46;didn t,3.43;if anyone,2.79;lord s,2.71;other languages,2.64;another language,2.64;these things,2.61;sexual immorality,2.45;been raised,2.44;now concerning,2.43;so also,2.39;man s,2.34;christ s,2.32;s work,2.21;aren t,2.21	don t you,3.60;the good news,3.46;lord jesus christ,3.32;i don t,3.31;t you know,3.16;the lord s,2.82;our lord jesus,2.65;if any man,2.65;with other languages,2.45;in another language,2.45;but if anyone,2.45;the lord jesus,2.45;god s spirit,2.24;he doesn t,2.24;in christ jesus,2.23;don t have,2.23;the same spirit,2.23;sacrificed to idols,2.00;various kinds of,2.00;i might gain,2.00	don t you know,3.16;our lord jesus christ,2.65;speaks in another language,2.00;preach the good news,2.00;where context allows may,1.73;context allows may also,1.73;be correctly translated brothers,1.73;also be correctly translated,1.73;correctly translated brothers and,1.73;translated brothers and sisters,1.73;there are various kinds,1.73;word for brothers here,1.73;speak with other languages,1.73;as though they didn,1.73;though they didn t,1.73;allows may also be,1.73;may also be correctly,1.73;things sacrificed to idols,1.73;don t have love,1.73;the lord jesus christ,1.7
1 John	doesn t,4.30;we know,4.11;jesus christ,2.98;if we,2.96;little children,2.81;don t,2.79;god s,2.51;eternal life,2.43;one another,2.43;evil one,2.22;love one,2.13;t know,2.02;t love,2.02;atoning sacrifice,2.00;these things,1.99;god remains,1.80;we love,1.75;if anyone,1.71;isn t,1.71;son jesus,1.67	we know that,3.73;know that we,2.82;who doesn t,2.64;born of god,2.64;this we know,2.64;son of god,2.64;keep his commandments,2.24;love one another,2.24;the evil one,2.23;leading to death,2.00;hates his brother,2.00;love his brother,2.00;we have seen,2.00;doesn t love,2.00;children of god,2.00;god remains in,1.99;sin not leading,1.73;son jesus christ,1.73;if we say,1.73;his son jesus,1.73	we know that we,2.83;who doesn t love,2.00;we keep his commandments,1.73;his son jesus christ,1.73;if we say that,1.73;t love his brother,1.73;doesn t love his,1.73;we say that we,1.73;of god doesn t,1.73;hilasmos an appeasing propitiating,1.41;greek hilasmos an appeasing,1.41;atoning sacrifice atoning sacrifice,1.41;sacrifice that turns away,1.41;away god s wrath,1.41;turns away god s,1.41;life these things i,1.41;jesus christ has come,1.41;sacrifice atoning sacrifice is,1.41;write these things to,1.41;the atoning sacrifice atoning,1.4
1 Peter	jesus christ,2.97;don t,2.44;one another,2.00;good news,1.99;do well,1.73;they may,1.70;god s,1.65;god if,1.58;ever amen,1.41;chief cornerstone,1.41;conscience toward,1.41;obtained mercy,1.41;patiently endure,1.41;self controlled,1.41;little while,1.41;fade away,1.41;own husbands,1.41;isaiah 8,1.41;putting away,1.41;didn t,1.41	of jesus christ,2.23;the good news,1.73;of god if,1.73;doesn t fade,1.41;t fade away,1.41;don t obey,1.41;and ever amen,1.41;conscience toward god,1.41;a little while,1.41;forever and ever,1.41;you patiently endure,1.41;living as foreigners,1.41;that doesn t,1.41;multitude of sins,1.41;those who do,1.41;in like manner,1.41;christ also suffered,1.41;to one another,1.41;a good conscience,1.41;resurrection of jesus,1.41	doesn t fade away,1.41;forever and ever amen,1.41;that doesn t fade,1.41;because christ also suffered,1.41;don t obey the,1.41;resurrection of jesus christ,1.41;revelation of jesus christ,1.41;christ also suffered for,1.41;does mark my son,1.00;drunken binges orgies carousings,1.00;pontus galatia cappadocia asia,1.00;sarah obeyed abraham calling,1.00;leviticus 11 44 45,1.00;can mean overseer curator,1.00;mean overseer curator guardian,1.00;cornerstone psalm 118 22,1.00;endures pain suffering unjustly,1.00;lewdness lusts drunken binges,1.00;lusts drunken binges orgies,1.00;roaring lion seeking whom,1.0
1 Thessalonians	lord jesus,3.26;good news,2.43;don t,2.43;jesus christ,2.41;one another,1.99;fallen asleep,1.73;without ceasing,1.73;holy spirit,1.72;also do,1.71;we also,1.52;give thanks,1.41;became imitators,1.41;let s,1.41;couldn t,1.40;didn t,1.40;own children,1.40;t stand,1.40;yourselves know,1.39;please god,1.39;love one,1.39	lord jesus christ,2.45;our lord jesus,2.45;the good news,2.24;the lord jesus,2.23;good news of,2.00;even as we,2.00;have fallen asleep,1.73;before our god,1.73;news of god,1.73;god and father,1.73;come on them,1.41;couldn t stand,1.41;like a thief,1.41;see your face,1.41;became imitators of,1.41;t stand it,1.41;only but also,1.41;the holy spirit,1.41;night and day,1.41;we don t,1.41	our lord jesus christ,2.00;good news of god,1.73;couldn t stand it,1.41;even as we also,1.41;we exhort you brothers,1.41;the lord jesus christ,1.41;nursing mother cherishes her,1.00;time found using words,1.00;had become very dear,1.00;hand remember my bonds,1.00;safety then sudden destruction,1.00;any time found using,1.00;sisters or siblings loved,1.00;build each other up,1.00;behind at athens alone,1.00;heaven whom he raised,1.00;remember my bonds grace,1.00;fill up their sins,1.00;prayers remembering without ceasing,1.00;kiss i solemnly charge,1.0
1 Timothy	christ jesus,3.28;these things,2.98;let them,2.42;don t,2.23;if she,2.21;same way,1.99;good works,1.98;jesus christ,1.95;pay attention,1.73;doesn t,1.72;eternal life,1.72;living god,1.71;lord jesus,1.71;turned aside,1.41;lay hold,1.41;obtained mercy,1.41;s sins,1.41;hope set,1.41;served well,1.41;different doctrine,1.41	if she has,2.24;the same way,2.00;pay attention to,1.73;our lord jesus,1.73;lord jesus christ,1.73;those who believe,1.73;christ jesus our,1.73;if a man,1.73;the living god,1.73;sight of god,1.73;and christ jesus,1.73;have turned aside,1.41;hope set on,1.41;its own times,1.41;servants or deacons,1.41;men s sins,1.41;received with thanksgiving,1.41;same way must,1.41;i obtained mercy,1.41;withdraw yourself from,1.41	our lord jesus christ,1.73;way must be reverent,1.41;same way must be,1.41;the same way must,1.41;christ jesus our lord,1.41;10 7 leviticus 19,1.00;7 leviticus 19 13,1.00;braided hair gold pearls,1.00;grain deuteronomy 25 4,1.00;hot iron forbidding marriage,1.00;luke 10 7 leviticus,1.00;wages luke 10 7,1.00;evil suspicions constant friction,1.00;convert lest being puffed,1.00;every place pray lifting,1.00;macedonia stay at ephesus,1.00;new convert lest being,1.00;before pontius pilate testified,1.00;envy strife reviling evil,1.00;formed then eve adam,1.0
Galatians	good news,3.58;don t,3.14;christ jesus,2.75;jesus christ,2.75;one another,2.63;free woman,1.99;lord jesus,1.98;so then,1.96;we might,1.95;went up,1.73;born according,1.72;didn t,1.72;doesn t,1.72;let s,1.72;through faith,1.66;elemental principles,1.41;mount sinai,1.41;genesis 12,1.41;jews religion,1.41;other than,1.41	the good news,3.00;in christ jesus,2.45;under the law,2.23;the free woman,2.00;that we might,2.00;was born according,1.73;i went up,1.73;there is neither,1.73;born according to,1.73;lord jesus christ,1.73;christ jesus that,1.73;anything nor uncircumcision,1.41;news other than,1.41;god sent out,1.41;cursed is everyone,1.41;other than that,1.41;our lord jesus,1.41;is written cursed,1.41;written cursed is,1.41;any good news,1.41	written cursed is everyone,1.41;anything nor uncircumcision but,1.41;good news other than,1.41;any good news other,1.41;years i went up,1.41;news other than that,1.41;our lord jesus christ,1.41;we might be justified,1.41;that we might receive,1.41;preached the good news,1.41;in christ jesus neither,1.41;the spirit let s,1.41;jesus that we might,1.41;we might receive the,1.41;faith in jesus christ,1.41;christ jesus that we,1.41;adultery sexual immorality uncleanness,1.00;anger rivalries divisions heresies,1.00;divisions heresies envyings murders,1.00;envyings murders drunkenness orgies,1.0
Hebrews	high priest,4.10;don t,3.59;didn t,3.30;been made,2.78;enter into,2.63;holy place,2.44;having been,2.40;right hand,2.23;draw near,2.23;psalm 95,2.23;holy spirit,2.23;had been,2.19;tr adds,2.00;sat down,2.00;jeremiah 31,2.00;psalm 110,1.99;new covenant,1.99;jesus christ,1.99;priest forever,1.98;living god,1.97	a high priest,2.65;order of melchizedek,2.45;the holy place,2.45;after the order,2.24;the holy spirit,2.24;says the lord,2.24;into the holy,2.23;a new covenant,2.00;right hand of,2.00;the right hand,2.00;have been made,2.00;the living god,2.00;word of god,2.00;the high priest,2.00;son of god,2.00;1 kings 19,1.73;harden your hearts,1.73;sat down on,1.73;psalm 110 4,1.73;had testimony given,1.73	into the holy place,2.24;melchizedek psalm 110 4,1.73;voice don t harden,1.73;hear his voice don,1.73;t harden your hearts,1.73;my rest psalm 95,1.73;enter into my rest,1.73;don t harden your,1.73;into my rest psalm,1.73;had testimony given to,1.73;his voice don t,1.73;of melchizedek psalm 110,1.73;order of melchizedek psalm,1.73;exodus 19 12 13,1.41;kings 19 1 3,1.41;whole burnt offerings and,1.41;1 kings 19 1,1.41;1 3 2 kings,1.41;19 1 3 2,1.41;3 2 kings 6,1.4
James	don t,4.07;doesn t,2.21;one another,1.99;whole body,1.73;if anyone,1.72;beloved brothers,1.72;poor man,1.71;didn t,1.71;deuteronomy 5,1.41;double minded,1.41;draw near,1.41;jesus christ,1.41;selfish ambition,1.41;fine clothing,1.41;commit adultery,1.41;speaks against,1.41;fall into,1.41;come now,1.41;do well,1.41;into hypocrisy,1.41	you don t,2.23;do not commit,1.73;my beloved brothers,1.73;works is dead,1.73;and don t,1.73;lord jesus christ,1.41;not commit adultery,1.41;draw near to,1.41;said do not,1.41;able to save,1.41;promised to those,1.41;those who love,1.41;against one another,1.41;even so faith,1.41;and selfish ambition,1.41;jealousy and selfish,1.41;apart from works,1.41;faith apart from,1.41;justified by works,1.41;law of freedom,1.41	jealousy and selfish ambition,1.41;do not commit adultery,1.41;said do not commit,1.41;faith apart from works,1.41;my brothers don t,1.41;hebrew tze va ot,1.00;animal bird creeping thing,1.00;very small rudder wherever,1.00;yourself leviticus 19 18,1.00;hypocrisy tr reads under,1.00;righteousness genesis 15 16,1.00;variation nor turning shadow,1.00;10 13 deuteronomy 5,1.00;13 deuteronomy 5 17,1.00;20 14 deuteronomy 5,1.00;adultery exodus 20 14,1.00;double minded lament mourn,1.00;exodus 10 13 deuteronomy,1.00;exodus 20 14 deuteronomy,1.00;grown brings forth death,1.0
Philemon	christ jesus,1.69;lord jesus,1.37;jesus christ,1.36;always making,1.00;am sending,1.00;anything put,1.00;appropriate yet,1.00;aristarchus demas,1.00;been refreshed,1.00;besides yes,1.00;guest room,1.00;having confidence,1.00;mark aristarchus,1.00;might serve,1.00;nothing without,1.00;s sake,1.00;self besides,1.00;also prepare,1.00;become effective,1.00;beg being,1.00	jesus christ i,1.41;the lord jesus,1.41;in christ jesus,1.41;forever no longer,1.00;mark aristarchus demas,1.00;self besides yes,1.00;always making mention,1.00;been refreshed through,1.00;beg being such,1.00;even beyond what,1.00;every good thing,1.00;god always making,1.00;may become effective,1.00;say also prepare,1.00;behalf he might,1.00;do mark aristarchus,1.00;do nothing without,1.00;he might serve,1.00;once was useless,1.00;own self besides,1.00	behalf he might serve,1.00;do mark aristarchus demas,1.00;own self besides yes,1.00;am sending him back,1.00;besides yes brother let,1.00;god always making mention,1.00;rather beg being such,1.00;self besides yes brother,1.00;do even beyond what,1.00;faith may become effective,1.00;means useful who once,1.00;chains onesimus onesimus means,1.00;onesimus onesimus means useful,1.00;prepare a guest room,1.00;aristarchus demas and luke,1.00;mark aristarchus demas and,1.00;nothing without your consent,1.00;onesimus means useful who,1.00;have been refreshed through,1.00;saints have been refreshed,1.0
