The Epistle of St. Paul to the Colossians	jesus christ,2.76;christ jesus,2.38;st paul,2.23;make known,1.73;colossians chapter,1.73;one another,1.72;lord jesus,1.69;giving thanks,1.41;fellow servant,1.41;jewish teachers,1.41;most beloved,1.41;pretending humility,1.41;am made,1.41;faithful minister,1.41;lest they,1.41;paul wrote,1.41;old man,1.41;come unto,1.41;wherein also,1.41;may know,1.40	lord jesus christ,1.73;thanks to god,1.73;christ jesus who,1.73;in christ jesus,1.73;of christ jesus,1.73;st paul wrote,1.41;am made a,1.41;made a minister,1.41;let no man,1.41;giving thanks to,1.41;make known to,1.41;whatsoever you do,1.41;the jewish teachers,1.41;come unto you,1.41;upon the earth,1.41;things that concern,1.41;the old man,1.41;body the church,1.41;whom also you,1.41;sufferings of christ,1.41	am made a minister,1.41;giving thanks to god,1.41;the lord jesus christ,1.41;epist ad algas understands,1.00;jerome epist ad algas,1.00;anger indignation malice blasphemy,1.00;away anger indignation malice,1.00;fornication uncleanness lust evil,1.00;given different opinions concerning,1.00;indignation malice blasphemy filthy,1.00;uncleanness lust evil concupiscence,1.00;malice blasphemy filthy speech,1.00;earth fornication uncleanness lust,1.00;neither gentile nor jew,1.00;open shew triumphing over,1.00;self willed self invented,1.00;speaks ver 8 paid,1.00;willed self invented superstitious,1.00;heretics imposing such restraints,1.00;imposing such restraints under,1.0
The Epistle of St. Paul to the Ephesians	jesus christ,3.22;lord jesus,2.78;christ jesus,2.71;heavenly places,2.44;ephesians chapter,2.23;make known,1.73;new man,1.73;holy spirit,1.71;may know,1.71;whom we,1.70;hath made,1.70;afar off,1.41;time past,1.41;delivered himself,1.41;made manifest,1.41;high places,1.41;take unto,1.41;might make,1.41;places through,1.40;made known,1.40	lord jesus christ,2.64;in christ jesus,2.64;our lord jesus,2.24;may be able,2.00;in heavenly places,1.73;unto the praise,1.73;in whom we,1.73;the holy spirit,1.73;grace of god,1.73;the lord jesus,1.73;were afar off,1.41;heavenly places through,1.41;principalities and powers,1.41;we are members,1.41;should be holy,1.41;apostles and prophets,1.41;in time past,1.41;he might make,1.41;we all meet,1.41;whom we have,1.41	our lord jesus christ,2.24;may know the things,1.41;the lord jesus christ,1.41;tychicus my dearest brother,1.00;every part maketh increase,1.00;former ages was discovered,1.00;permits these wicked spirits,1.00;putting away lying speak,1.00;sun go down upon,1.00;wherefore putting away lying,1.00;foolish talking or scurrility,1.00;obscenity or foolish talking,1.00;unclean or covetous person,1.00;long lived upon earth,1.00;can never fall from,1.00;doctors gave some apostles—until,1.00;doing tychicus my dearest,1.00;understanding darkened being alienated,1.00;just honour thy father,1.00;them forbearing threatenings knowing,1.0
The Book of Esther	king assuerus,4.06;esther chapter,3.85;o lord,3.15;king said,2.86;mardochai had,2.65;twelfth month,2.64;these things,2.63;month adar,2.44;had prepared,2.40;they should,2.37;she had,2.27;twenty seven,2.23;seven provinces,2.22;hanged upon,2.22;fourteenth day,2.22;they had,2.22;she answered,2.20;queen esther,2.16;had commanded,2.15;ten sons,2.00	the king said,2.99;if it please,2.65;the twelfth month,2.65;of king assuerus,2.64;whom the king,2.44;twenty seven provinces,2.24;india to ethiopia,2.24;son of amadathi,2.24;and twenty seven,2.24;hundred and twenty,2.24;city of susan,2.24;aman the son,2.23;king said to,2.23;king and aman,2.21;ten sons of,2.00;found favour in,2.00;twelfth month which,2.00;is called adar,2.00;the ten sons,2.00;the golden sceptre,2.00	hundred and twenty seven,2.24;and twenty seven provinces,2.24;ten sons of aman,2.00;edict was hung up,1.73;hung up in susan,1.73;second after the king,1.73;abounded into many waters,1.41;carried away from jerusalem,1.41;killed five hundred men,1.41;garden set with trees,1.41;fifty cubits high and,1.41;lot was cast into,1.41;besides the ten sons,1.41;could read and hear,1.41;a people scattered through,1.41;mardochai did not bend,1.41;answered if it please,1.41;jechonias king of juda,1.41;nabuchodonosor king of babylon,1.41;queen instead of vasthi,1.4
The First Epistle of St. Paul to the Corinthians	lord jesus,3.96;jesus christ,3.95;1 corinthians,3.87;corinthians chapter,3.87;if they,3.29;these things,3.28;christ jesus,2.93;god hath,2.66;one another,2.57;man’s work,2.45;one body,2.29;might gain,2.23;puffed up,2.23;dead rise,2.23;now concerning,2.23;come together,2.22;one bread,2.20;if she,2.17;so also,2.16;if we,2.15	1 corinthians chapter,3.87;lord jesus christ,3.61;if any man,3.46;our lord jesus,3.32;in christ jesus,2.64;i might gain,2.24;things are lawful,2.24;the dead rise,2.24;blood of christ,2.24;church of god,2.23;spirit of god,2.23;every man’s work,2.00;sacrificed to idols,2.00;speak with tongues,2.00;dead rise not,2.00;rise not again,2.00;you come together,2.00;let every man,2.00;let no man,2.00;body and blood,2.00	our lord jesus christ,3.16;dead rise not again,2.00;if the dead rise,2.00;wood hay and stubble,1.73;put all things under,1.73;victory o death where,1.41;this foundation gold silver,1.41;whether thou shalt save,1.41;try every man’s work,1.41;question for conscience’ sake,1.41;upon this foundation gold,1.41;eucharistic sacrifice and sacrament,1.41;purge out the old,1.41;together into one place,1.41;made partakers with devils,1.41;out the old leaven,1.41;of speaking strange tongues,1.41;must be also heresies,1.41;lord 1 corinthians chapter,1.41;son also himself shall,1.4
The First Epistle of St. John the Apostle	we know,3.96;if we,2.84;little children,2.82;one another,2.81;unto death,2.62;love one,2.59;jesus christ,2.43;write unto,2.43;dearly beloved,2.23;holy ghost,2.23;st john,2.23;wicked one,2.22;hath given,2.20;god hath,2.16;we may,2.05;bear witness,2.00;john chapter,1.99;1 john,1.99;these things,1.99;eternal life,1.98	we know that,3.74;this we know,3.00;born of god,3.00;know that we,2.82;love one another,2.65;son of god,2.64;i write unto,2.45;keep his commandments,2.45;write unto you,2.45;charity of god,2.44;the holy ghost,2.24;the wicked one,2.23;1 john chapter,2.00;hateth his brother,2.00;sin unto death,2.00;water and blood,2.00;he hath given,2.00;we have seen,2.00;we have known,2.00;we keep his,2.00	we know that we,2.83;we keep his commandments,2.00;a sin unto death,1.73;if we say that,1.73;we say that we,1.73;keep yourselves from idols,1.41;us 1 john chapter,1.41;unto you young men,1.41;these things i write,1.41;write unto you young,1.41;whole world is seated,1.41;these three are one,1.41;whatsoever we shall ask,1.41;overcome the wicked one,1.41;knoweth god heareth us,1.41;his son jesus christ,1.41;we may have confidence,1.41;that knoweth god heareth,1.41;born of god committeth,1.41;son jesus christ and,1.4
The First Epistle of St. Peter the Apostle	jesus christ,2.96;1 peter,2.00;doing well,2.00;peter chapter,2.00;hath called,1.72;they speak,1.72;they may,1.69;dearly beloved,1.41;obtained mercy,1.41;like form,1.41;mutual charity,1.41;should follow,1.41;conscience towards,1.41;whereunto baptism,1.41;putting away,1.41;ever amen,1.41;like manner,1.41;living stone,1.41;time past,1.41;whereas they,1.41	of jesus christ,2.45;1 peter chapter,2.00;whereas they speak,1.41;conscience towards god,1.41;empire for ever,1.41;in like manner,1.41;who hath called,1.41;and ever amen,1.41;that whereas they,1.41;the like form,1.41;doing well you,1.41;glory and empire,1.41;a good conscience,1.41;resurrection of jesus,1.41;the putting away,1.41;ever and ever,1.41;because christ also,1.41;hath called you,1.41;them that believe,1.41;god if any,1.41	that whereas they speak,1.41;ever and ever amen,1.41;resurrection of jesus christ,1.41;doth my son mark,1.00;lion goeth about seeking,1.00;my son mark salute,1.00;pontus galatia cappadocia asia,1.00;roaring lion goeth about,1.00;sara obeyed abraham calling,1.00;endure sorrows suffering wrongfully,1.00;dispersed through pontus galatia,1.00;so doth my son,1.00;through pontus galatia cappadocia,1.00;brotherhood merciful modest humble,1.00;every one’s work converse,1.00;some new thing happened,1.00;strangers dispersed through pontus,1.00;up spiritual sacrifices acceptable,1.00;goeth about seeking whom,1.00;son mark salute one,1.0
The First Epistle of St. Paul to the Thessalonians	lord jesus,3.26;jesus christ,2.79;one another,2.23;1 thessalonians,1.99;thessalonians chapter,1.99;give thanks,1.73;fill up,1.73;without ceasing,1.73;come upon,1.72;upon them,1.71;yourselves know,1.71;we should,1.58;holy ghost,1.41;without blame,1.41;would walk,1.41;hath called,1.41;these things,1.40;even so,1.40;we beseech,1.36;we had,1.36	lord jesus christ,2.83;our lord jesus,2.64;1 thessalonians chapter,2.00;the lord jesus,1.99;come upon them,1.73;to fill up,1.73;towards all men,1.73;for yourselves know,1.73;gospel of god,1.73;forbearing no longer,1.41;fill up their,1.41;up their sins,1.41;see your face,1.41;who hath called,1.41;give thanks to,1.41;is come upon,1.41;the holy ghost,1.41;you would walk,1.41;hath called you,1.41;one another and,1.41	our lord jesus christ,2.65;fill up their sins,1.41;is come upon them,1.41;give thanks to god,1.41;god is come upon,1.41;come upon them to,1.41;we beseech you brethren,1.41;god’s justice would punish,1.00;after which god’s justice,1.00;remain at athens alone,1.00;were become most dear,1.00;heaven whom he raised,1.00;holy kiss i charge,1.00;security then shall sudden,1.00;shall rise first then,1.00;then shall sudden destruction,1.00;sins after which god’s,1.00;nurse should cherish her,1.00;chapter 4 he exhorts,1.00;i paul indeed once,1.0
The First Epistle of St. Paul to Timothy	christ jesus,3.28;these things,2.81;if she,2.43;1 timothy,2.23;timothy chapter,2.23;jesus christ,2.19;like manner,2.00;living god,1.98;fall into,1.73;own house,1.72;faithful saying,1.72;hath been,1.72;one wife,1.72;good works,1.72;they may,1.70;let them,1.69;before god,1.68;men’s sins,1.41;turned aside,1.41;lay hold,1.41	1 timothy chapter,2.24;if she have,2.24;in like manner,2.00;the living god,2.00;a faithful saying,1.73;christ jesus our,1.73;of one wife,1.73;that they may,1.73;if a man,1.73;lay hold on,1.41;st paul himself,1.41;like manner chaste,1.41;abstain from meats,1.41;received with thanksgiving,1.41;who gave himself,1.41;are widows indeed,1.41;his own house,1.41;he fall into,1.41;charge thee before,1.41;manner chaste not,1.41	like manner chaste not,1.41;in like manner chaste,1.41;charge thee before god,1.41;christ jesus our lord,1.41;our lord jesus christ,1.41;faithful saying and worthy,1.41;arise envies contentions blasphemies,1.00;blasphemies evil suspicions conflicts,1.00;contentions blasphemies evil suspicions,1.00;envies contentions blasphemies evil,1.00;less than threescore years,1.00;married more than once,1.00;saved through child bearing,1.00;chapter 3 what sort,1.00;inhabiteth light inaccessible whom,1.00;can never uphold error,1.00;decent apparel adorning themselves,1.00;corruptions superstition or idolatry,1.00;first formed then eve,1.00;pearls or costly attire,1.0
The Epistle of St. Paul to the Galatians	jesus christ,2.93;christ jesus,2.76;galatians chapter,2.23;lord jesus,1.98;one another,1.97;free woman,1.73;under sin,1.72;god forbid,1.72;they had,1.71;jesus neither,1.70;law then,1.65;jews’ religion,1.41;lest perhaps,1.41;observe days,1.41;born according,1.41;written cursed,1.41;christian liberty,1.41;circumcision availeth,1.41;hath concluded,1.41;st peter,1.41	in christ jesus,2.45;under the law,2.23;our lord jesus,1.73;there is neither,1.73;lord jesus christ,1.73;christ jesus neither,1.73;among the gentiles,1.73;christ jesus that,1.73;of jesus christ,1.73;the law then,1.73;their christian liberty,1.41;availeth any thing,1.41;circumcision availeth any,1.41;neither circumcision availeth,1.41;thing nor uncircumcision,1.41;hath concluded all,1.41;ordained by angels,1.41;any thing nor,1.41;was born according,1.41;lest perhaps i,1.41	our lord jesus christ,1.73;in christ jesus neither,1.73;availeth any thing nor,1.41;circumcision availeth any thing,1.41;neither circumcision availeth any,1.41;any thing nor uncircumcision,1.41;concluded all under sin,1.41;jesus neither circumcision availeth,1.41;hath concluded all under,1.41;thing nor uncircumcision but,1.41;christ jesus neither circumcision,1.41;god forbid for if,1.41;jesus that we may,1.41;christ jesus that we,1.41;faith of jesus christ,1.41;benignity goodness longanimity mildness,1.00;contentions emulations wraths quarrels,1.00;dissensions sects envies murders,1.00;emulations wraths quarrels dissensions,1.00;enmities contentions emulations wraths,1.0
The Epistle of St. Paul to the Hebrews	high priest,4.56;hebrews chapter,3.46;enter into,2.99;holy ghost,2.64;new testament,2.64;jesus christ,2.62;if they,2.56;right hand,2.23;if we,2.14;hold fast,2.00;had been,1.99;offer himself,1.98;one sacrifice,1.98;living god,1.97;those things,1.97;god hath,1.83;voice harden,1.73;came out,1.73;like manner,1.73;so great,1.72	the holy ghost,2.65;a high priest,2.65;order of melchisedech,2.45;priest for ever,2.45;the new testament,2.45;into the holies,2.45;son of god,2.45;let us go,2.00;shall enter into,2.00;right hand of,2.00;the right hand,2.00;to enter into,2.00;saith the lord,2.00;the living god,2.00;word of god,2.00;his voice harden,1.73;voice harden not,1.73;hear his voice,1.73;in like manner,1.73;enter into my,1.73	hear his voice harden,1.73;enter into my rest,1.73;they shall enter into,1.73;if they shall enter,1.73;priest for ever according,1.73;camp bearing his reproach,1.41;after those days saith,1.41;let us hold fast,1.41;a little lower than,1.41;let us go forth,1.41;they would have ceased,1.41;if we sin wilfully,1.41;my wrath if they,1.41;little lower than the,1.41;others indeed were made,1.41;without the camp bearing,1.41;wrath if they shall,1.41;lower than the angels,1.41;if they had been,1.41;high priest jesus christ,1.4
The Catholic Epistle of St. James the Apostle	james chapter,2.00;without works,1.98;whole body,1.73;dearest brethren,1.72;faith without,1.70;poor man,1.69;god hath,1.67;divers temptations,1.41;double minded,1.41;fine apparel,1.41;jesus christ,1.41;commit adultery,1.41;draw nigh,1.41;into divers,1.41;lord jesus,1.41;hath promised,1.41;one point,1.41;hath been,1.40;so also,1.39;man think,1.39	respect of persons,2.00;my dearest brethren,1.73;faith without works,1.73;works is dead,1.73;into divers temptations,1.41;lord jesus christ,1.41;our lord jesus,1.41;not commit adultery,1.41;draw nigh to,1.41;fine apparel and,1.41;god hath promised,1.41;let him bring,1.41;there shall come,1.41;able to save,1.41;justified by works,1.41;promised to them,1.41;them that love,1.41;let him ask,1.41;hath promised to,1.41;your sins one,1.41	our lord jesus christ,1.41;which god hath promised,1.41;hath promised to them,1.41;without works is dead,1.41;god hath promised to,1.41;sins one to another,1.41;faith without works is,1.41;fulfilled saying abraham believed,1.00;keep one’s self unspotted,1.00;chaste then peaceable modest,1.00;same mouth proceedeth blessing,1.00;see deut 1 17,1.00;then peaceable modest easy,1.00;flower thereof fell off,1.00;fraud has been kept,1.00;has been kept back,1.00;precept incurs eternal punishment,1.00;salt water yield sweet,1.00;earth patiently bearing till,1.00;incurs eternal punishment yet,1.0
The Apocalypse of St. John the Apostle	apocalypse chapter,4.57;these things,4.54;third part,3.87;living creatures,3.73;loud voice,3.59;twelve thousand,3.59;thousand signed,3.46;four living,3.45;they should,3.26;seven angels,3.12;came out,2.98;seven heads,2.97;great city,2.94;bottomless pit,2.83;ear let,2.82;do penance,2.82;ten horns,2.82;thousand years,2.82;o lord,2.82;fell down,2.82	upon the earth,3.99;third part of,3.87;the third part,3.74;ever and ever,3.74;a loud voice,3.61;twelve thousand signed,3.46;four living creatures,3.46;thousand signed of,3.32;the four living,3.31;that they should,3.00;an ear let,2.83;ear let him,2.83;let him hear,2.83;these things saith,2.83;the bottomless pit,2.83;before the throne,2.83;the seven angels,2.82;if any man,2.65;hath an ear,2.65;write these things,2.65	twelve thousand signed of,3.32;the four living creatures,3.32;ear let him hear,2.83;hath an ear let,2.65;poured out his vial,2.65;write these things saith,2.65;out his vial upon,2.65;angel sounded the trumpet,2.65;four and twenty ancients,2.45;angel poured out his,2.24;round about the throne,2.24;heads and ten horns,2.24;after these things i,2.24;seven heads and ten,2.24;am alpha and omega,2.00;voice from heaven saying,2.00;four living creatures and,2.00;and another angel came,2.00;these things saith the,2.00;saying come and see,2.0
