Index,Book,Version,Sentiment,Average Score
1,The First Epistle of St. Paul to the Corinthians,DRB,NEGATIVE,0.9124508685079115
1,The First Epistle of Paul the Apostle to the Corinthians,KJV,NEGATIVE,0.9328571880857149
1,1 Corinthians,OEB,NEGATIVE,0.9289745473861695
1,1 Corinthians,WEB,NEGATIVE,0.941450446844101
2,The First Epistle General of John,KJV,POSITIVE,0.9051800881113324
2,The First Epistle of St. John the Apostle,DRB,POSITIVE,0.9051800881113324
2,1 John,OEB,POSITIVE,0.9181466698646545
2,1 John,WEB,POSITIVE,0.9224441647529602
3,The First Epistle of St. Peter the Apostle,DRB,POSITIVE,0.9388167772974286
3,The First Epistle General of Peter,KJV,POSITIVE,0.969281690461295
3,1 Peter,OEB,POSITIVE,0.9887890645435878
3,1 Peter,WEB,POSITIVE,0.9269085611615863
4,The First Epistle of Paul the Apostle to the Thessalonians,KJV,POSITIVE,0.898004949092865
4,The First Epistle of St. Paul to the Thessalonians,DRB,POSITIVE,0.8848766326904297
4,1 Thessalonians,OEB,POSITIVE,0.9881470084190369
4,1 Thessalonians,WEB,POSITIVE,0.900681471824646
5,The First Epistle of Paul the Apostle to Timothy,KJV,POSITIVE,0.862712969382604
5,The First Epistle of St. Paul to Timothy,DRB,NEGATIVE,0.8636335219655719
5,1 Timothy,OEB,POSITIVE,0.9404582125799996
5,1 Timothy,WEB,POSITIVE,0.9733787278334299
6,The Second Epistle of Paul the Apostle to the Corinthians,KJV,POSITIVE,0.9504183456301689
6,The Second Epistle of St. Paul to the Corinthians,DRB,POSITIVE,0.9255345744245193
6,2 Corinthians,OEB,POSITIVE,0.9529471397399902
6,2 Corinthians,WEB,POSITIVE,0.9415300091107687
7,The Second Epistle of St. John the Apostle,DRB,POSITIVE,0.8746553659439087
7,The Second Epistle General of John,KJV,POSITIVE,0.9936816692352295
7,2 John,OEB,POSITIVE,0.998633086681366
7,2 John,WEB,POSITIVE,0.9982896447181702
8,The Second Epistle of St. Peter the Apostle,DRB,NEGATIVE,0.9627716660499572
8,The Second General Epistle of Peter,KJV,NEGATIVE,0.9400598406791687
8,2 Peter,OEB,POSITIVE,0.8793082714080811
8,2 Peter,WEB,POSITIVE,0.8747581392526627
9,The Second Epistle of Paul the Apostle to the Thessalonians,KJV,POSITIVE,0.9449945290883383
9,The Second Epistle of St. Paul to the Thessalonians,DRB,POSITIVE,0.9722422063350677
9,2 Thessalonians,OEB,POSITIVE,0.9364586075146993
9,2 Thessalonians,WEB,POSITIVE,0.9904858072598776
10,The Second Epistle of Paul the Apostle to Timothy,KJV,POSITIVE,0.9600026845932007
10,The Second Epistle of St. Paul to Timothy,DRB,NEGATIVE,0.9533185601234436
10,2 Timothy,OEB,POSITIVE,0.9893380761146545
10,2 Timothy,WEB,POSITIVE,0.9062124967575074
11,The Third Epistle General of John,KJV,POSITIVE,0.9736079573631287
11,The Third Epistle of St. John the Apostle,DRB,POSITIVE,0.8335591912269592
11,3 John,OEB,POSITIVE,0.9979777932167053
11,3 John,WEB,POSITIVE,0.988067626953125
12,The Epistle of Paul the Apostle to the Colossians,KJV,POSITIVE,0.9137741565704346
12,The Epistle of St. Paul the Apostle to the Colossians,DRB,POSITIVE,0.9261594244412014
12,Colossians,OEB,POSITIVE,0.9636707603931427
12,Colossians,WEB,POSITIVE,0.9844177007675171
13,The Epistle of St. Paul to the Ephesians,DRB,POSITIVE,0.9446218344900343
13,The Epistle of Paul the Apostle to the Ephesians,KJV,POSITIVE,0.9302505478262901
13,Ephesians,OEB,POSITIVE,0.947975668642256
13,Ephesians,WEB,POSITIVE,0.9443959072232246
14,The Book of Esther,DRB,NEGATIVE,0.9379371300987576
14,The Book of Esther,KJV,NEGATIVE,0.915062133471171
14,Esther,OEB,NEGATIVE,0.9213665402852572
14,Esther,WEB,NEGATIVE,0.9462248427527291
15,The Epistle of Paul the Apostle to the Galatians,KJV,NEGATIVE,0.9417305812239647
15,The Epistle of St. Paul to the Galatians,DRB,NEGATIVE,0.8742690086364746
15,Galatians,OEB,NEGATIVE,0.9368728796641032
15,Galatians,WEB,NEGATIVE,0.8911207318305969
16,The Epistle of Paul the Apostle to the Hebrews,KJV,NEGATIVE,0.9007598337005166
16,The Epistle of St. Paul to the Hebrews,DRB,NEGATIVE,0.9082752764225006
16,Hebrews,OEB,POSITIVE,0.913719068555271
16,Hebrews,WEB,POSITIVE,0.910407950480779
17,The Catholic Epistle of St. James the Apostle,DRB,NEGATIVE,0.9188677072525024
17,The General Epistle of James,KJV,NEGATIVE,0.8599314192930857
17,James,OEB,NEGATIVE,0.9056931052889142
17,James,WEB,NEGATIVE,0.916128009557724
18,The Epistle of St. Paul to Philemon,DRB,POSITIVE,0.9892183542251587
18,The Epistle of Paul the Apostle to Philemon,KJV,POSITIVE,0.9927138388156891
18,Philemon,OEB,POSITIVE,0.9911300837993622
18,Philemon,WEB,POSITIVE,0.9989860653877258
19,The Epistle of Paul the Apostle to the Philippians,KJV,POSITIVE,0.8959983885288239
19,The Epistle of St. Paul to the Philippians,DRB,POSITIVE,0.9746431112289429
19,Philippians,OEB,POSITIVE,0.9337069988250732
19,Philippians,WEB,POSITIVE,0.9765980740388235
20,The Book of Psalms,DRB,POSITIVE,0.9109926515155369
20,The Book of Psalms,KJV,POSITIVE,0.9000753348118791
20,Psalms,OEB,POSITIVE,0.9321150158580981
20,Psalms,WEB,POSITIVE,0.9557205764231859
21,The Epistle of Paul the Apostle to the Romans,KJV,NEGATIVE,0.9110425959030787
21,The Epistle of St. Paul the Apostle to the Romans,DRB,NEGATIVE,0.9572777096182108
21,Romans,OEB,POSITIVE,0.9351003214165017
21,Romans,WEB,NEGATIVE,0.9307927250862121
22,The Book of Ruth,DRB,NEGATIVE,0.927248053252697
22,The Book of Ruth,KJV,NEGATIVE,0.8888263787542071
22,Ruth,OEB,NEGATIVE,0.9276637931664785
22,Ruth,WEB,NEGATIVE,0.809431254863739
23,The Apocalypse of St. John the Apostle,DRB,NEGATIVE,0.8693400786982642
23,The Revelation of Saint John the Divine,KJV,NEGATIVE,0.9091202102858444
23,Revelation,OEB,NEGATIVE,0.9172762845243726
23,Revelation,WEB,NEGATIVE,0.9106286846929126
24,The Epistle of St. Paul to Titus,DRB,POSITIVE,0.98644091685613
24,The Epistle of Paul the Apostle to Titus,KJV,POSITIVE,0.9635122021039327
24,Titus,OEB,POSITIVE,0.9855881730715433
24,Titus,WEB,POSITIVE,0.9826188484827677